Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
72,80.10082,6.13843,3,1745953906000,30/04/2025 12:00:00 AM,29/04/2025 7:11:46 PM,True,55,gps,0,30/04/2025 12:41:45 AM,373
73,80.10066,6.13852,93.33901,1745954204970,30/04/2025 12:00:00 AM,29/04/2025 7:16:45 PM,True,55,network,0,30/04/2025 12:46:45 AM,373
74,80.10081,6.13839,10.5,1745954208545,30/04/2025 12:00:00 AM,29/04/2025 7:16:49 PM,True,55,gps,185.5,30/04/2025 12:46:47 AM,373
75,80.10068,6.13852,86.462,1745954504954,30/04/2025 12:00:00 AM,29/04/2025 7:21:45 PM,True,55,network,0,30/04/2025 12:51:45 AM,373
76,80.10076,6.13844,10.5,1745954508838,30/04/2025 12:00:00 AM,29/04/2025 7:21:49 PM,True,55,gps,282.6,30/04/2025 12:51:47 AM,373
77,80.10069,6.13851,79.028,1745954804942,30/04/2025 12:00:00 AM,29/04/2025 7:26:45 PM,True,55,network,0,30/04/2025 12:56:44 AM,373
78,80.1008,6.13842,4.5,1745954808299,30/04/2025 12:00:00 AM,29/04/2025 7:26:48 PM,True,55,gps,282.7,30/04/2025 12:56:47 AM,373
79,80.10066,6.13851,64.201,1745955104871,30/04/2025 12:00:00 AM,29/04/2025 7:31:45 PM,True,55,network,0,30/04/2025 1:01:44 AM,373
80,80.10077,6.13842,3.5,1745955108205,30/04/2025 12:00:00 AM,29/04/2025 7:31:48 PM,True,55,gps,0,30/04/2025 1:01:47 AM,373
81,80.10085,6.13836,6,1745955393000,30/04/2025 12:00:00 AM,29/04/2025 7:36:33 PM,True,55,gps,212.6,30/04/2025 1:06:32 AM,373
82,80.10085,6.13836,15,1745955408812,30/04/2025 12:00:00 AM,29/04/2025 7:36:49 PM,True,55,gps,0,30/04/2025 1:06:47 AM,373
83,80.1008,6.13843,4.5,1745955569000,30/04/2025 12:00:00 AM,29/04/2025 7:39:29 PM,True,55,gps,358.7,30/04/2025 1:09:27 AM,373
84,80.10066,6.13851,50.527,1745955704941,30/04/2025 12:00:00 AM,29/04/2025 7:41:45 PM,True,55,network,0,30/04/2025 1:11:44 AM,373
85,80.10073,6.13844,10,1745955707777,30/04/2025 12:00:00 AM,29/04/2025 7:41:48 PM,True,55,gps,0,30/04/2025 1:11:46 AM,373
86,80.10068,6.13852,44.247,1745956004908,30/04/2025 12:00:00 AM,29/04/2025 7:46:45 PM,True,55,network,0,30/04/2025 1:16:44 AM,373
87,80.10074,6.13839,5,1745956007678,30/04/2025 12:00:00 AM,29/04/2025 7:46:48 PM,True,55,gps,0,30/04/2025 1:16:46 AM,373
88,80.10084,6.13845,5.5,1745956276000,30/04/2025 12:00:00 AM,29/04/2025 7:51:16 PM,True,55,gps,37.7,30/04/2025 1:21:15 AM,373
